	scenario_title	search_nums	image_path	target_price_buyer	target_price_seller	description_buyer	description_seller
1655	IKEA DESK / TABLE	124000000		18	20	Both are identical except one is slightly longer. Come assembled, pick up only. Slight chipping on edges but barely noticeable.	Both are identical except one is slightly longer. Come assembled, pick up only. Slight chipping on edges but barely noticeable. Shorter desk/table: 29 inches tall, 39.5 inches long, 33 inches wide Longer desk/table: 29 inches tall, 47 inches long, 33 inches wide
1700	IKEA Table - Desk - Black	88400000		7	15	Two Ikea Table - Desks are available in two sizes. They are both in great condition (like new). They are identical in terms of general look and hight. Only the table top size is different. Size: 39 by 24 inches	Two Ikea Table - Desks are available in two sizes. They are both in great condition (like new). They are identical in terms of general look and hight. Only the table top size is different. Size: 39 by 24 inches Color: Black Condition: Like new Size: 59 by 30 inches Color: Black Condition: Like new
1061	IKEA Night stand	77000000	furniture/6140919877_0.jpg	7	10	Not sure about the model number but I bought it at IKEA.	Not sure about the model number but I bought it at IKEA. pickup only. It has a small white paint and scratch.
32	Contemporary IKEA Cabinet for sale	38400000	furniture/6144619160_0.jpg	6	10	"2 with single shelf. 3 with media drawer. Item 2: (1 piece) 23 ?""w x 15""h x 15 ?""d. Black-brown. No shelf. Item 3: (1 piece) 23 ?""w x 25 ?""h x 15 ?""d. Black-brown. One shelf (in the picture, item 2 & 3 are stack on top of each other)"	"2 with single shelf. 3 with media drawer. Item 2: (1 piece) 23 ?""w x 15""h x 15 ?""d. Black-brown. No shelf. Item 3: (1 piece) 23 ?""w x 25 ?""h x 15 ?""d. Black-brown. One shelf (in the picture, item 2 & 3 are stack on top of each other) Bought about 4 years ago. Still in good condition with some scuffs (see pics.) You can buy matching doors/drawers/legs from IKEA to make it more personalized and work for you. Thanks"
1370	Ikea Entertainment Center	37600000	furniture/6143904730_0.jpg	190	250	"Flexible Ikea entertainment center that can be separated out into three pieces (two shelving units and the base). Pictured with a 40"" TV but could fit something bigger if the middle shelves are moved up or removed completely. All other shelves are adjustable as well. A piece of the backing on the right shelving unit was removed because we kept a stereo on that shelf, but I have the backing and it can easily be re-attached. Excellent condition, just a few minor nicks on the top of the tv stand (pictured). Also comes with an extra glass door."	"Flexible Ikea entertainment center that can be separated out into three pieces (two shelving units and the base). Pictured with a 40"" TV but could fit something bigger if the middle shelves are moved up or removed completely. All other shelves are adjustable as well. A piece of the backing on the right shelving unit was removed because we kept a stereo on that shelf, but I have the backing and it can easily be re-attached. Excellent condition, just a few minor nicks on the top of the tv stand (pictured). Also comes with an extra glass door. Shelving units: 20 3/8"" x 15 3/4"" x 70"" Cash only, no deliveries. Will need a truck or van for hauling. Thanks!"
1504	IKEA EKTORP L-Shaped Couch	36400000	furniture/6131367996_0.jpg	150	300	"Move-out sale, very good condition IKEA ektorp couch with Dark Grey cover http://www.ikea.com/us/en/catalog/products/S59129176/#/S79164908 Width: 99 1/4 "" Min. depth: 34 5/8 "" Max. depth: 64 1/8 "" Seat height: 17 3/4 "" Width: 252 cm Min. depth: 88 cm"	"Move-out sale, very good condition IKEA ektorp couch with Dark Grey cover http://www.ikea.com/us/en/catalog/products/S59129176/#/S79164908 Width: 99 1/4 "" Min. depth: 34 5/8 "" Max. depth: 64 1/8 "" Seat height: 17 3/4 "" Width: 252 cm Min. depth: 88 cm Max. depth: 163 cm Seat height: 45 cm Height: 88 cm Back and seat frame: Fiberboard, Particleboard, Plywood, Solid wood, Polyurethane foam 1.2 lb/cu.ft. Armrest: Hollow fiber polyester wadding, Fiberboard, Particleboard, Solid wood, Cardboard, Polyurethane foam 1.2 lb/cu.ft., Polyurethane foam 1.5 lb/cu.ft. Seat cushion: Non-woven polypropylene, High-resilience polyurethane foam (cold foam) 2.2 lb/cu.ft., Polyester fiber balls Back cushion: Hollow polyester fibers, Non-woven polypropylene Cover for 3-seat sectional:"
280	IKEA Black Extending Dining Room Table + 4 chairs	27200000	furniture/6144844982_0.jpg	72	95	Black IKEA dining room table. It is 68 inches long and it extends to an extra 32 inches. Comes with 4 chairs included with it. Minor scratches on the table. Must pick up, I live around Lake Merritt, Oakland.	Black IKEA dining room table. It is 68 inches long and it extends to an extra 32 inches. Comes with 4 chairs included with it. Minor scratches on the table. Must pick up, I live around Lake Merritt, Oakland. Email if interested!
82	IKEA TV STAND WITH FROSTED GLASS DOORS	13600000	furniture/6133220337_0.jpg	73	80	# tv console, tv table, media table, media console, media consul, entertainment center, game center, television table, television console, television stand, alameda, birch effect	# tv console, tv table, media table, media console, media consul, entertainment center, game center, television table, television console, television stand, alameda, birch effect
1187	IKEA EKTORP 3-Seater Couch with Chaise Lounge, Grey	13600000	furniture/6144814662_0.jpg	105	150	For sale grey 3-seater IKEA EKTORP couch with chaise lounge. Machine washable cover.	For sale grey 3-seater IKEA EKTORP couch with chaise lounge. Machine washable cover. 4 years old, excellent condition. Original IKEA product: http://www.ikea.com/us/en/catalog/products/S59129176/
261	IKEA Closet Organizer with Pull Out Wire Baskets	12800000	furniture/6144685516_0.jpg	45	75	Two IKEA organizers may be positioned side-by-side or separate.  Each organizer has 7 wire baskets that slide forward.  Baskets can be removed if desired.  Includes hardware to keep units together and to secure to wall.  Price includes both units.	"Two IKEA organizers may be positioned side-by-side or separate.  Each organizer has 7 wire baskets that slide forward.  Baskets can be removed if desired.  Includes hardware to keep units together and to secure to wall.  Price includes both units. Dimensions (both units side-by-side):  39"" width x 23"" depth x 80"" height"
457	IKEA Hopen Full Size Bed with mattress and night stand.	11400000	furniture/6143814250_0.jpg	157	225	Selling my Ikea Full Size Bed. The Bed is still in good condition, few marks and scratches. I have a mattress that I've had for 6-7 years. It is still good condition.	Selling my Ikea Full Size Bed. The Bed is still in good condition, few marks and scratches. I have a mattress that I've had for 6-7 years. It is still good condition. The night stand is suppose to match the bed frame, which is in very good condition. The night stand is on wheels. If interested to only buy one of the items:
735	Pine Bed Frame & Mattress - Full Size - IKEA	7400000	furniture/6143811571_0.jpg	90	100	Selling Frame & Mattress. Good condition. Comes apart nicely. Length: 82 5/8in Width: 68 1/8in	Selling Frame & Mattress. Good condition. Comes apart nicely. Length: 82 5/8in Width: 68 1/8in Footboard height: 13in Headboard height: 38 1/4in Mattress length: 79 1/2in Mattress width: 60in
568	IKEA Malm 2-Drawer Chest White	4630000	furniture/6131338149_0.jpg	31	35	"Move out sale, excellent condition IKEA MALM 2-drawer chest, can be used as nightstand Width: 15 7/8 "" Depth: 19 "" Width: 40 cm"	"Move out sale, excellent condition IKEA MALM 2-drawer chest, can be used as nightstand Width: 15 7/8 "" Depth: 19 "" Width: 40 cm Depth: 48 cm Height: 55 cm Top panel/ Side panel/ Rail/ Drawer front: Particleboard, Acrylic paint Support rail, back: Particleboard Drawer bottom: Fiberboard, Acrylic paint"
1390	IKEA Malm 4-Drawer Chest White	3980000		37	75	"Move-out sale, like new condition IKEA 4-drawer chest. Regular price 120 + tax Width: 31 1/2 "" Depth: 18 7/8 "" Width: 80 cm"	"Move-out sale, like new condition IKEA 4-drawer chest. Regular price 120 + tax Width: 31 1/2 "" Depth: 18 7/8 "" Width: 80 cm Depth: 48 cm Height: 100 cm Top panel/ Side panel/ Drawer front/ Front rail/ Plinth front: Particleboard, Acrylic paint Support rail, back: Particleboard Drawer bottom: Fiberboard, Acrylic paint"
1085	Ikea Desks (several), Hutches, Filing cabinets and more	3490000	furniture/6145162075_0.jpg	12	25	Lots of excess office furniture to sell. ** all items have some wear and tear, scratches, etc...	Lots of excess office furniture to sell. ** all items have some wear and tear, scratches, etc... Every else in photos also for sale. Just ask. We also have Hon filing cabinets and supply cabinets.
814	Ikea Queen Malm bed	2610000	furniture/6144072863_0.jpg	105	150	Ikea queen bed. Good condition, taken apart for easy pick up... Slats are included.... MATTRESS IS FREDY if you want normal wear. Located in Fairfield you pick up	Ikea queen bed. Good condition, taken apart for easy pick up... Slats are included.... MATTRESS IS FREDY if you want normal wear. Located in Fairfield you pick up
1680	Short wide Ikea Billy bookcase black-brown	1910000	furniture/6145073017_0.jpg	17	35	"Here's the link to my other ads: https://sfbay.craigslist.org/search/sss?userid=55884146 Read about it here: http://www.ikea.com/us/en/catalog/products/70263842/ Width: 31 1/2 "" Depth: 11 "" Width: 80 cm Depth: 28 cm"	"Here's the link to my other ads: https://sfbay.craigslist.org/search/sss?userid=55884146 Read about it here: http://www.ikea.com/us/en/catalog/products/70263842/ Width: 31 1/2 "" Depth: 11 "" Width: 80 cm Depth: 28 cm Height: 106 cm Main parts: Particleboard, Ash veneer, Paper, Stain, Clear acrylic lacquer Key features - Adjustable shelves can be arranged according to your needs. - A simple unit can be enough storage for a limited space or the foundation for a larger storage solution if your needs change. - Surface made from natural wood veneer."
875	IKEA Kallax shelf unit high gloss white with 4 insert door	1170000	furniture/6144581915_0.jpg	25	50	I am selling a used Kallax shelf unit in high gloss white with four installed inserts with doors, also in high gloss white finish.	I am selling a used Kallax shelf unit in high gloss white with four installed inserts with doors, also in high gloss white finish. Condition is good, but the top surface has been dinged up a bit and there is a small hole puncture (see photo). Rest if the unit is in great, excellent condition though.
588	Ikea Poang Chair and Ottoman	1020000	furniture/6144405644_0.jpg	45	50	Ikea Poang Chair and Ottoman ---- Medium Brown, Ransta Black Wood has some scratches and cushion has faded from original black (see pics) http://www.ikea.com/us/en/catalog/products/S09125661/	Ikea Poang Chair and Ottoman ---- Medium Brown, Ransta Black Wood has some scratches and cushion has faded from original black (see pics) http://www.ikea.com/us/en/catalog/products/S09125661/ http://www.ikea.com/us/en/catalog/products/S49128672/ Can deliver in East Bay or SF for a fee Can also buy new cushion from IKEA: http://www.ikea.com/us/en/catalog/products/80279512/#/90319942
1190	Storage drawer unit on wheels (ERIK Ikea brand)	1010000	furniture/6144238330_0.jpg	15	30	Great as a bedside table, or for storage. Lock + Key included See product specs here: http://www.ikea.com/us/en/catalog/products/20341003/#/10151809 Key features - The casters make it easy to move around. - The two lower drawers can be locked. - Drawer stops prevent the drawer from being pulled out too far.	"Great as a bedside table, or for storage. Lock + Key included See product specs here: http://www.ikea.com/us/en/catalog/products/20341003/#/10151809 Key features - The casters make it easy to move around. - The two lower drawers can be locked. - Drawer stops prevent the drawer from being pulled out too far. Width: 16 1/8 "" Depth: 19 5/8 "" Width: 41 cm Depth: 50 cm Height: 57 cm Email or text if interested"
423	IKEA Stave White Mirror	608000		10	20	IKEA Stave white mirror. Mounting fittings included. Different wall materials require different types of fasteners. Use fasteners suitable for the walls in your home.	"IKEA Stave white mirror. Mounting fittings included. Different wall materials require different types of fasteners. Use fasteners suitable for the walls in your home. Width: 27 1/2 "" Height: 63 "" - Can be hung horizontally or vertically. - Safety film reduces damage if glass is broken."
58	FULL SIZE IKEA MALM BLACK BED FRAME W/ SLATS AND 2 UNDER BED STORAGE	378000	furniture/6145286356_0.jpg	90	150	I am selling a full size ikea malm black bed frame with slatted bed frame and two under the bed storage drawers included. It is only two years old and in great condition. http://www.ikea.com/us/en/catalog/products/S69009475/#/S09069778	I am selling a full size ikea malm black bed frame with slatted bed frame and two under the bed storage drawers included. It is only two years old and in great condition. http://www.ikea.com/us/en/catalog/products/S69009475/#/S09069778 http://www.ikea.com/us/en/catalog/products/20252718/ http://www.ikea.com/us/en/catalog/products/50285091/
72	Ikea Solsta Sleeper Sofa	322000		36	40	The sofa is used but in good condition.  It quickly converts into a sleeper by folding out the seat cushions.	The sofa is used but in good condition.  It quickly converts into a sleeper by folding out the seat cushions. http://www.ikea.com/us/en/catalog/products/70087108/
881	Ikea MALM 3-drawer chest, Birch Veneer	275000	furniture/6145337311_0.jpg	45	50	Ikea Malm 3-drawer chest is for sale Color: Birch veneer Condition: Excellent, smooth running drawers	Ikea Malm 3-drawer chest is for sale Color: Birch veneer Condition: Excellent, smooth running drawers Cash and Pick-up only Closet organizer: https://sfbay.craigslist.org/eby/fuo/ https://sfbay.craigslist.org/eby/fuo/ malm dresser, wood dresser, wardrobe closet
339	Black-Brown and White IKEA LINNMON / ADILS Table	252000		18	20	IKEA desk for sale ,  both colors , good condition assembled or disassembled, based on your transportation situation.	IKEA desk for sale ,  both colors , good condition assembled or disassembled, based on your transportation situation. Black brown table has grey legs
1603	IKEA standing desk w/ adjustable legs $60 OBO	217000	furniture/6145290860_0.jpg	36	60	**IF YOU'RE READING THIS IT'S STILL AVAILABLE.**	"**IF YOU'RE READING THIS IT'S STILL AVAILABLE.** Current height of table is set at 36"" tall. Legs unscrew for easy transport. Table top: 31.5""x59""x1.25"""
1478	IKEA MILLBERGET Desk Chair White	124000	furniture/6145271828_0.jpg	20	40	Only used for 6 months and very clean. Looks like new. Can be put on the backseat of Sedan. Pickup only.	Only used for 6 months and very clean. Looks like new. Can be put on the backseat of Sedan. Pickup only. http://www.ikea.com/us/en/catalog/products/40331705/#/00331707
50	Ikea SL?HULT Dining Table	120000	furniture/6130911686_0.jpg	60	100	Up for sale is our SL?HULT dining table from Ikea! Less than a year old, this table is in great shape. We're 3 exits from the Emeryville Ikea. Why pay full retail when you can get a pre-assembled one instead (and avoid the hell that is a trip to Ikea)? Chairs not included.	Up for sale is our SL?HULT dining table from Ikea! Less than a year old, this table is in great shape. We're 3 exits from the Emeryville Ikea. Why pay full retail when you can get a pre-assembled one instead (and avoid the hell that is a trip to Ikea)? Chairs not included. OBO, but don't be a dick. http://www.ikea.com/us/en/catalog/products/S99040342/#/S99040342
1543	Sofa bed with chaise (originally IKEA- Friheten)	91500	furniture/6145126742_0.jpg	304	400	This sofa bed with chaise was originally purchased from IKEA . Its dark brown in color and in very good condition. It has storage space as well. Refer to photos attached. If interested, please let me know and we can set up a day and time. If the deal works out, it is available to be picked up anytime after July 1, 2017.	This sofa bed with chaise was originally purchased from IKEA . Its dark brown in color and in very good condition. It has storage space as well. Refer to photos attached. If interested, please let me know and we can set up a day and time. If the deal works out, it is available to be picked up anytime after July 1, 2017.
565	IKEA Sultan Holmsta Full Mattress	85300		125	250	Move-out sale, very comfortable IKEA Sultan Holmsta Full Mattress Latex cushion offers personalized comfort that conforms to your body for precision support. ? Active pocket springs respond independently	"Move-out sale, very comfortable IKEA Sultan Holmsta Full Mattress Latex cushion offers personalized comfort that conforms to your body for precision support. ? Active pocket springs respond independently to cradle your body and help relieve pressure points, while keeping your spine properly aligned. ? The pocket springs are individually wrapped to ? Lyocell, a natural fiber, helps regulate body ? Thickness: 12?"""
1136	Ikea Beddinge Sleeper Sofa Futon Frame - Delivery Avail	83100	furniture/6136067026_0.jpg	36	40	Very good condition Ikea Beddinge sleeper sofa frame, back adjusts to 3 different positions, clean and in good working order, ready for pickup in San Leandro or I can deliver locally (gas $ helps!) ... Thanks!	Very good condition Ikea Beddinge sleeper sofa frame, back adjusts to 3 different positions, clean and in good working order, ready for pickup in San Leandro or I can deliver locally (gas $ helps!) ... Thanks! Btw, I may have a futon pad to sell also, not the Ikea one that comes with it but a nice thick standard futon pad, white...if interested,  just let me know.  Thanks!
155	Ikea PAX Wardrobe, white, Hasvik white sliding doors	54200	furniture/6137323838_0.jpg	270	450	Wardrobe, white, Hasvik white, 78 3/4x26x93 1/8	Wardrobe, white, Hasvik white, 78 3/4x26x93 1/8 Buyer pick up is required wardrobe is located In one story house with easy access.
1642	Ikea corner sofa bed (Manstad, similar to Holmsund)	48900	furniture/6136104725_0.jpg	105	150	"For sale is a big ikea sleeper sofa, similar to this one http://www.ikea.com/us/en/catalog/products/S99150750/. Dimensions are 28.75""H x 94.5""W x 35.5""D Seat & Bed height 17.75''. It converts into about a queen-sized bed. It also has a very convenient storage place where we keep bedding supplies."	"For sale is a big ikea sleeper sofa, similar to this one http://www.ikea.com/us/en/catalog/products/S99150750/. Dimensions are 28.75""H x 94.5""W x 35.5""D Seat & Bed height 17.75''. It converts into about a queen-sized bed. It also has a very convenient storage place where we keep bedding supplies. Overall the sofa is in a good shape, no pets/smokers in the household. There is a bit of fading of fabrics (clearly visible on picture where it is converted into a bed) otherwise fabrics is in a good shape. Note the orientation of the corner, I believe it cannot be changed. Cash only. It disassembles into three pieces, plus three pillows. I am happy to disassemble it for you and help to carry it to your car.  Also, I can deliver within 5 mile radius for an extra 50$."
